"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-7,"FT8","14.075026","2025-11-03 00:03:12","Argentina",1762128192,"LU7DZ","GF11FX","CE4KS","FF33WJ","Dipole",100,
-20,"FT8","14.075003","2025-11-03 00:03:12","Argentina",1762128192,"LU7DZ","GF11FX","CE3UOB","FF46KO",,100,
-16,"FT8","14.074987","2025-11-03 00:03:14","Argentina",1762128194,"LU7DZ","GF11FX","LU1MQF","FF55uj04hx","Dipole",100,
-18,"FT8","14.075000","2025-11-03 00:03:14","Argentina",1762128194,"LU7DZ","GF11FX","N8HRZ","EN91pe03",,100,
-14,"FT8","14.075059","2025-11-03 00:03:14","Argentina",1762128194,"LU7DZ","GF11FX","LU5MM","FF56SW",,100,
-14,"FT8","14.075021","2025-11-03 00:07:44","Argentina",1762128464,"LU7DZ","GF11FX","PY2OYA","GG67kc",,100,
-10,"FT8","14.074996","2025-11-03 00:11:41","Argentina",1762128701,"LU7DZ","GF11FX","PY5XT","GG54JO","Dipole",100,
-10,"FT8","14.074996","2025-11-03 00:11:41","Argentina",1762128701,"LU7DZ","GF11FX","ZW5B","GG54KL","Dipole",100,
-1,"FT8","18.101064","2025-11-03 00:16:42","Argentina",1762129002,"LU7DZ","GF11FX","LU1VDF","FE48GV",,100,
-18,"FT8","14.075031","2025-11-03 00:16:43","Argentina",1762129003,"LU7DZ","GF11FX","PP5KE","GG52pm","Vertical",100,
-16,"FT8","14.075015","2025-11-03 00:22:42","Argentina",1762129362,"LU7DZ","GF11FX","PY5RCB","GG46AN","Dipole",100,
-17,"FT8","14.075008","2025-11-03 00:30:14","Argentina",1762129814,"LU7DZ","GF11FX","PP5DE","GG53he",,100,
-19,"FT8","14.075050","2025-11-03 00:30:15","Argentina",1762129815,"LU7DZ","GF11FX","PY2GR","GG57nx01","Dipole",100,
-19,"FT8","14.074999","2025-11-03 00:31:14","Argentina",1762129874,"LU7DZ","GF11FX","PY2EW","GG66it",,100,
-22,"FT8","14.075003","2025-11-03 00:34:14","Argentina",1762130054,"LU7DZ","GF11FX","CE3UOB","FF46KO",,100,
-12,"FT8","14.075029","2025-11-03 00:38:42","Argentina",1762130322,"LU7DZ","GF11FX","CE4KS","FF33WJ","Dipole",100,
-16,"FT8","14.075031","2025-11-03 00:38:43","Argentina",1762130323,"LU7DZ","GF11FX","PP5KE","GG52pm","Vertical",100,
-23,"FT8","14.075029","2025-11-03 00:38:44","Argentina",1762130324,"LU7DZ","GF11FX","CE3HXY","FF46qm",,100,
-13,"FT8","14.075028","2025-11-03 01:00:12","Argentina",1762131612,"LU7DZ","GF11FX","CE4KS","FF33WJ","Dipole",100,
-8,"FT8","14.075078","2025-11-03 01:00:13","Argentina",1762131613,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-1,"FT8","50.314022","2025-11-03 01:06:28","Argentina",1762131988,"LU7DZ","GF11FX","LU3EKW","GF11fx",,100,
-8,"FT8","50.314118","2025-11-03 01:28:58","Argentina",1762133338,"LU7DZ","GF11FX","LU3EKW","GF11fx",,100,
-20,"FT8","14.075078","2025-11-03 01:30:43","Argentina",1762133443,"LU7DZ","GF11FX","CX5CDV","GF15",,100,
-10,"FT8","14.075001","2025-11-03 01:30:44","Argentina",1762133444,"LU7DZ","GF11FX","PY2GZ","GG66pr",,100,
-19,"FT8","14.075001","2025-11-03 01:30:44","Argentina",1762133444,"LU7DZ","GF11FX","N8HRZ","EN91pe03",,100,
-6,"FT8","3.573818","2025-11-03 01:32:29","Argentina",1762133549,"LU7DZ","GF11FX","LU9DA","GF11fx27ru","Dipole",100,
-17,"FT8","14.075028","2025-11-03 01:36:44","Argentina",1762133804,"LU7DZ","GF11FX","CE4KS","FF33WJ","Dipole",100,
-22,"FT8","14.075007","2025-11-03 01:36:44","Argentina",1762133804,"LU7DZ","GF11FX","PP5DE","GG53he",,100,
-19,"FT8","14.075002","2025-11-03 01:37:41","Argentina",1762133861,"LU7DZ","GF11FX","PY5LUI","GG54IO",,100,
-20,"FT8","14.075026","2025-11-03 01:37:44","Argentina",1762133864,"LU7DZ","GF11FX","LU5MM","FF56SW",,100,
-15,"FT8","14.075009","2025-11-03 01:42:42","Argentina",1762134162,"LU7DZ","GF11FX","PY2DN","GG66sj44",,100,
-19,"FT8","14.075051","2025-11-03 01:52:14","Argentina",1762134734,"LU7DZ","GF11FX","PY2GR","GG57nx01","Dipole",100,
-24,"FT8","14.075019","2025-11-03 01:52:41","Argentina",1762134761,"LU7DZ","GF11FX","KM4AF","EM84MQ","Dipole",100,
,"FT8","14.075000","2025-11-03 01:54:00","Argentina",1762134840,"LU7DZ","GF11FX","DP0GVN","IB59ui60","Horizontal Triangle 250m asl",100,
-17,"FT8","14.075003","2025-11-03 01:54:15","Argentina",1762134855,"LU7DZ","GF11FX","XQ2OP","FG40IA","Dipole",100,
-17,"FT8","14.075008","2025-11-03 01:56:44","Argentina",1762135004,"LU7DZ","GF11FX","PP5DE","GG53he",,100,
-2,"FT8","14.074649","2025-11-03 02:10:58","Brazil",1762135858,"PY3TX","GG40WB","LU7DZ","GF11FX",,108,
-8,"FT8","14.075005","2025-11-03 02:18:42","Argentina",1762136322,"LU7DZ","GF11FX","XQ3MCC","FF46RO","MOSLEY TA-53 / 50mhz LFA 6 element / G5RV JR 40-10 / Mag Loop 80/40",100,
-20,"FT8","14.074998","2025-11-03 02:18:43","Argentina",1762136323,"LU7DZ","GF11FX","PP5AX","GG53nr",,100,
-16,"FT8","14.091008","2025-11-03 02:18:43","Argentina",1762136323,"LU7DZ","GF11FX","PP5DE","GG53he",,100,
-18,"FT8","14.074205","2025-11-03 02:36:57","Chile",1762137417,"CE3TSK","FF46PQ","LU7DZ","GF11FX",,112,
-19,"FT8","14.075007","2025-11-03 02:47:14","Argentina",1762138034,"LU7DZ","GF11FX","LU1EAF","GF11fw",,100,
-14,"FT8","14.075018","2025-11-03 02:47:14","Argentina",1762138034,"LU7DZ","GF11FX","CE3TSK","FF46qp","18m vertical",100,
-17,"FT8","14.074999","2025-11-03 02:53:14","Argentina",1762138394,"LU7DZ","GF11FX","PP5AX","GG53nr",,100,
-14,"FT8","14.074998","2025-11-03 02:53:14","Argentina",1762138394,"LU7DZ","GF11FX","PY2GZ","GG66pr",,100,
-17,"FT8","14.075029","2025-11-03 03:01:12","Argentina",1762138872,"LU7DZ","GF11FX","CE4KS","FF33WJ","Dipole",100,
-16,"FT8","14.075078","2025-11-03 03:01:13","Argentina",1762138873,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-24,"FT8","14.075001","2025-11-03 03:01:14","Argentina",1762138874,"LU7DZ","GF11FX","PT2ND","GH64bg80",,100,
-15,"FT8","14.074996","2025-11-03 03:01:14","Argentina",1762138874,"LU7DZ","GF11FX","K2GT","BK29ln",,100,
-20,"FT8","14.074204","2025-11-03 03:03:57","Chile",1762139037,"CE3TSK","FF46PQ","LU7DZ","GF11FX",,112,
-21,"FT8","14.075288","2025-11-03 03:17:26","Chile",1762139846,"CE3BT","FF46qn","LU7DZ","GF11FX",,112,
-14,"FT8","14.074998","2025-11-03 03:19:43","Argentina",1762139983,"LU7DZ","GF11FX","PP5AX","GG53nr",,100,
-16,"FT8","14.075003","2025-11-03 03:19:45","Argentina",1762139985,"LU7DZ","GF11FX","XQ7UP/3","FF46qn",,100,
-10,"FT8","14.075003","2025-11-03 03:25:44","Argentina",1762140344,"LU7DZ","GF11FX","CE3BT","FF46qn",,100,
-17,"FT8","14.074997","2025-11-03 03:25:44","Argentina",1762140344,"LU7DZ","GF11FX","PY2GZ","GG66pr",,100,
-20,"FT8","14.075047","2025-11-03 03:28:12","Brazil",1762140492,"PY5NT","GG54","LU7DZ","GF11FX",,108,
-7,"FT8","14.075235","2025-11-03 03:55:58","Brazil",1762142158,"PY5EG","GG54in77","LU7DZ","GF11FX",,108,
-8,"FT8","14.074998","2025-11-03 03:59:41","Argentina",1762142381,"LU7DZ","GF11FX","PY5EG","GG54in77","Dipole",100,
-11,"FT8","14.074753","2025-11-03 04:08:27","Brazil",1762142907,"PY2KP","GG66rk41rr","LU7DZ","GF11FX",,108,
-19,"FT8","14.074997","2025-11-03 04:58:44","Argentina",1762145924,"LU7DZ","GF11FX","LU7PBO","FF58RL","Dipole",100,
-22,"FT8","14.075285","2025-11-03 05:13:58","Chile",1762146838,"XQ2OP","FG40IA","LU7DZ","GF11FX",,112,
-12,"FT8","14.075004","2025-11-03 05:24:42","Argentina",1762147482,"LU7DZ","GF11FX","XQ2OP","FG40IA","Dipole",100,
-21,"FT8","14.074999","2025-11-03 05:24:44","Argentina",1762147484,"LU7DZ","GF11FX","PY2GZ","GG66pr",,100,
-20,"FT8","14.075350","2025-11-03 05:38:27","Chile",1762148307,"XQ2OP","FG40IA","LU7DZ","GF11FX",,112,
-18,"FT8","14.074997","2025-11-03 06:51:14","Argentina",1762152674,"LU7DZ","GF11FX","JE2CGR","PM85kt","MultiBand 3ele Yagi",100,
-8,"FT8","14.075002","2025-11-03 07:01:00","Argentina",1762153260,"LU7DZ","GF11FX","PP5ZX","GG43no","R-8 vertical",100,
-21,"FT8","14.074998","2025-11-03 08:26:14","Argentina",1762158374,"LU7DZ","GF11FX","PY2GZ","GG66pr",,100,
,"FT8","14.075000","2025-11-03 08:56:00","Argentina",1762160160,"LU7DZ","GF11FX","UACNJ","FN20mv","No antenna information",100,
-18,"FT8","14.075004","2025-11-03 08:56:00","Argentina",1762160160,"LU7DZ","GF11FX","KQ2Y","FN31gn09","Various",100,
